Entity,Code,Year,14.1.1 - Coastal eutrophication: Total Nitrogen (TN) (kilograms of nitrogen from algae biomass per sq. km. of river basin area per day) - EN_MAR_TN,14.1.1 - Coastal eutrophication: Total Phosphorus (TP) (kilograms of phosphorus from algae biomass per sq. km. of river basin area per day) - EN_MAR_TP
Laptev Sea,,2009,11961.88,901.64
Laptev Sea,,2010,11965.64,862.55
Laptev Sea,,2011,11965.64,720.22
Laptev Sea,,2012,11965.64,701.04
Laptev Sea,,2013,11965.64,947.13
Laptev Sea,,2014,11965.64,963.84
Laptev Sea,,2015,11965.64,801.37
Mediterranean Sea,,2000,156081.33,8024.67
Mediterranean Sea,,2001,160362.02,8781.48
Mediterranean Sea,,2002,152817.48,8012.89
Mediterranean Sea,,2003,181961.48,10153.65
Mediterranean Sea,,2004,171215.69,9783.25
Mediterranean Sea,,2005,164125.95,8924.98
Mediterranean Sea,,2006,164445.64,9424.23
Mediterranean Sea,,2007,153981.28,7937.34
Mediterranean Sea,,2008,157647.67,7948.66
Mediterranean Sea,,2009,176909.16,10316.81
Mediterranean Sea,,2010,172798.77,9654.26
Mediterranean Sea,,2011,172798.77,10508.67
Mediterranean Sea,,2012,172798.77,9657.89
Mediterranean Sea,,2013,172798.77,9522.78
Mediterranean Sea,,2014,172798.77,7819.25
Mediterranean Sea,,2015,172798.77,7457.94
New Zealand Shelf,,2000,16674.96,745.27
New Zealand Shelf,,2001,14843.86,651.69
New Zealand Shelf,,2002,19048.04,818.23
New Zealand Shelf,,2003,17137.83,729.08
New Zealand Shelf,,2004,17210.96,738.39
New Zealand Shelf,,2005,16593.65,738.53
New Zealand Shelf,,2006,16478.15,743.93
New Zealand Shelf,,2007,15714.04,692.25
New Zealand Shelf,,2008,17896.41,774.37
New Zealand Shelf,,2009,16225.36,715.2
New Zealand Shelf,,2010,16406.46,809.54
New Zealand Shelf,,2011,16406.46,852.26
New Zealand Shelf,,2012,16406.46,817.36
New Zealand Shelf,,2013,16406.46,868.61
New Zealand Shelf,,2014,16406.46,863.27
New Zealand Shelf,,2015,16406.46,893.71
North Australian Shelf,,2000,63770.74,1064.61
North Australian Shelf,,2001,63640.86,1071.72
North Australian Shelf,,2002,57944.75,817.57
North Australian Shelf,,2003,54344.94,783.85
North Australian Shelf,,2004,64514.75,1011.06
North Australian Shelf,,2005,57174.23,912.04
North Australian Shelf,,2006,68002.22,1149.59
North Australian Shelf,,2007,59172.55,987.18
North Australian Shelf,,2008,63011.53,1083.14
North Australian Shelf,,2009,68234.75,1200.31
North Australian Shelf,,2010,66841.44,1312.22
North Australian Shelf,,2011,66841.44,1346.94
North Australian Shelf,,2012,66841.44,1045.27
North Australian Shelf,,2013,66841.43,1163.31
North Australian Shelf,,2014,66841.44,1213.82
North Australian Shelf,,2015,66841.44,1127.47
North Brazil Shelf,,2000,350896.03,9353.34
North Brazil Shelf,,2001,313106.88,7872.15
North Brazil Shelf,,2002,331584.5,8785.29
North Brazil Shelf,,2003,327797,8685.56
North Brazil Shelf,,2004,332640.9,8595.2
North Brazil Shelf,,2005,329002.34,8308.63
North Brazil Shelf,,2006,349263.62,9317.01
North Brazil Shelf,,2007,317442.03,7924.62
North Brazil Shelf,,2008,350217.7,9460.41
North Brazil Shelf,,2009,343787.6,9139.34
North Brazil Shelf,,2010,342503.3,8016.46
North Brazil Shelf,,2011,342503.3,8000.84
North Brazil Shelf,,2012,342503.3,6596.95
North Brazil Shelf,,2013,342503.3,7399.75
North Brazil Shelf,,2014,342503.3,7619.65
North Brazil Shelf,,2015,342503.3,7449
North Sea,,2000,108246.88,2663.55
North Sea,,2001,107858.19,2800.11
North Sea,,2002,105682.23,2549.47
North Sea,,2003,79120.09,2424.25
North Sea,,2004,87989.54,2282.76
North Sea,,2005,83523.7,2233.11
North Sea,,2006,81655.69,2119.22
North Sea,,2007,98091.47,2397.2
North Sea,,2008,87025.45,2197.55
North Sea,,2009,72027.22,1929.6
North Sea,,2010,72207.62,2126.72
North Sea,,2011,72207.62,2147.83
North Sea,,2012,72207.62,2192.61
North Sea,,2013,72207.62,2166.4
North Sea,,2014,72207.62,1925.82
North Sea,,2015,72207.62,1960.47
Northeast Australian Shelf,,2000,23989.06,656.81
Northeast Australian Shelf,,2001,24044.06,704.24
Northeast Australian Shelf,,2002,19044.96,435.45
Northeast Australian Shelf,,2003,18593.2,482.85
Northeast Australian Shelf,,2004,21363.31,519.04
Northeast Australian Shelf,,2005,19284.55,524.77
Northeast Australian Shelf,,2006,23975.08,657.04
Northeast Australian Shelf,,2007,21629.52,642.19
Northeast Australian Shelf,,2008,25089.65,734.66
Northeast Australian Shelf,,2009,27157.59,784.53
Northeast Australian Shelf,,2010,27127.33,823.37
Northeast Australian Shelf,,2011,27127.33,1064.76
Northeast Australian Shelf,,2012,27127.33,747.26
Northeast Australian Shelf,,2013,27127.33,957.89
Northeast Australian Shelf,,2014,27127.33,1038.42
Northeast Australian Shelf,,2015,27127.33,1121.86
Northeast U.S. Continental Shelf,,2000,46925.41,950.71
Northeast U.S. Continental Shelf,,2001,45005.77,798.06
Northeast U.S. Continental Shelf,,2002,41568.38,724.13
Northeast U.S. Continental Shelf,,2003,55386.54,919.42
Northeast U.S. Continental Shelf,,2004,55989.42,979.65
Northeast U.S. Continental Shelf,,2005,51605.82,916.85
Northeast U.S. Continental Shelf,,2006,48060.39,886.25
Northeast U.S. Continental Shelf,,2007,47659.7,887.86
Northeast U.S. Continental Shelf,,2008,47874.18,870.64
Northeast U.S. Continental Shelf,,2009,48157.11,824.06
Northeast U.S. Continental Shelf,,2010,48750.71,886.31
Northeast U.S. Continental Shelf,,2011,48750.71,805.46
Northeast U.S. Continental Shelf,,2012,48750.71,797.43
Northeast U.S. Continental Shelf,,2013,48750.71,715.77
Northeast U.S. Continental Shelf,,2014,48750.71,744.73
Northeast U.S. Continental Shelf,,2015,48750.71,798.31
Northern Bering - Chukchi Seas,,2000,1431.8,45.66
Northern Bering - Chukchi Seas,,2001,1537.37,50.01
Northern Bering - Chukchi Seas,,2002,1247.33,43.18
Northern Bering - Chukchi Seas,,2003,1360.1,50.7
Northern Bering - Chukchi Seas,,2004,1442.16,52.03
Northern Bering - Chukchi Seas,,2005,1395.86,50.49
Northern Bering - Chukchi Seas,,2006,1347.14,48.41
Northern Bering - Chukchi Seas,,2007,1212.27,41.64
Northern Bering - Chukchi Seas,,2008,1234.98,42.7
Northern Bering - Chukchi Seas,,2009,1424.5,50.8
Northern Bering - Chukchi Seas,,2010,1416.34,39.65
Northern Bering - Chukchi Seas,,2011,1416.34,39.55
Northern Bering - Chukchi Seas,,2012,1416.34,37
Northern Bering - Chukchi Seas,,2013,1416.34,35.51
Northern Bering - Chukchi Seas,,2014,1416.34,48.39
Northern Bering - Chukchi Seas,,2015,1416.34,49.33
Northwest Australian Shelf,,2000,20115.21,494.67
Northwest Australian Shelf,,2001,16713.99,417.27
Northwest Australian Shelf,,2002,15881.67,376.54
Northwest Australian Shelf,,2003,14828.2,376.2
Northwest Australian Shelf,,2004,16044.72,386.81
Northwest Australian Shelf,,2005,15429.75,399.46
Northwest Australian Shelf,,2006,17214.82,410.39
Northwest Australian Shelf,,2007,15261.64,396.84
Northwest Australian Shelf,,2008,15375.82,381.91
Northwest Australian Shelf,,2009,17315.64,436.31
Northwest Australian Shelf,,2010,16875.18,463.52
Northwest Australian Shelf,,2011,16875.18,534.97
Northwest Australian Shelf,,2012,16875.18,424.58
Northwest Australian Shelf,,2013,16875.18,470.41
Northwest Australian Shelf,,2014,16875.18,463.59
Northwest Australian Shelf,,2015,16875.18,432.1
Norwegian Sea,,2000,4616.81,76.97
Norwegian Sea,,2001,3738.25,63.13
Norwegian Sea,,2002,4278.27,71.71
Norwegian Sea,,2003,3823.89,67.23
Norwegian Sea,,2004,4553.53,71.88
Norwegian Sea,,2005,4917.89,83.55
Norwegian Sea,,2006,4701.42,77.3
Norwegian Sea,,2007,4459.42,77.23
Norwegian Sea,,2008,4169.42,73.65
Norwegian Sea,,2009,4202.24,71.53
Norwegian Sea,,2010,4165.56,61.33
Norwegian Sea,,2011,4165.56,62.41
Norwegian Sea,,2012,4165.56,63.49
Norwegian Sea,,2013,4165.56,69.73
Norwegian Sea,,2014,4165.56,80.18
Norwegian Sea,,2015,4165.56,81.93
Oyashio Current,,2000,11592.99,298.72
Oyashio Current,,2001,11300.09,318.23
Oyashio Current,,2002,8797.28,193.99
Oyashio Current,,2003,6171.05,182.26
Oyashio Current,,2004,7352.1,199.73
Oyashio Current,,2005,9053.04,256.83
Oyashio Current,,2006,10015.46,263.97
Oyashio Current,,2007,9699.88,303.83
Oyashio Current,,2008,10908.9,332.37
Oyashio Current,,2009,11883.74,390
Oyashio Current,,2010,11648.69,382.7
Oyashio Current,,2011,11648.69,417.14
Oyashio Current,,2012,11648.69,398.48
Oyashio Current,,2013,11648.69,496.27
Oyashio Current,,2014,11648.69,547.92
Oyashio Current,,2015,11648.69,536.19
Pacific Central-American Coastal,,2000,80042.34,4121.54
Pacific Central-American Coastal,,2001,79456.24,4027.94
Pacific Central-American Coastal,,2002,82285.73,4390.68
Pacific Central-American Coastal,,2003,81291.74,4356.31
Pacific Central-American Coastal,,2004,82815.08,4493.67
Pacific Central-American Coastal,,2005,82049.46,4258.94
Pacific Central-American Coastal,,2006,85104.3,4559.6
Pacific Central-American Coastal,,2007,87519.83,4740.95
Pacific Central-American Coastal,,2008,88759.21,4869.59
Pacific Central-American Coastal,,2009,79390.03,4174.77
Pacific Central-American Coastal,,2010,78767.79,4767.77
Pacific Central-American Coastal,,2011,78767.8,4310.22
Pacific Central-American Coastal,,2012,78767.79,4211.99
Pacific Central-American Coastal,,2013,78767.8,4438.51
Pacific Central-American Coastal,,2014,78767.79,4571.45
Pacific Central-American Coastal,,2015,78767.79,4342.54
Patagonian Shelf,,2000,84765.12,2996.41
Patagonian Shelf,,2001,90510.74,3284.91
Patagonian Shelf,,2002,97875.1,3516.41
Patagonian Shelf,,2003,92151.44,3361.52
Patagonian Shelf,,2004,88852.73,3072.86
Patagonian Shelf,,2005,92796.28,3248.2
Patagonian Shelf,,2006,87357.55,2874.64
Patagonian Shelf,,2007,97734.92,3471.3
Patagonian Shelf,,2008,92057.98,3119.8
Patagonian Shelf,,2009,91498.35,3013.58
Patagonian Shelf,,2010,95746.91,4044.08
Patagonian Shelf,,2011,95746.92,3250.05
Patagonian Shelf,,2012,95746.91,3663.95
Patagonian Shelf,,2013,95746.91,3239.17
Patagonian Shelf,,2014,95746.91,3182.89
Patagonian Shelf,,2015,95746.91,4029.49
Red Sea,,2000,4820.75,245.67
Red Sea,,2001,4631.38,224.72
Red Sea,,2002,4475.3,187.68
Red Sea,,2003,5114.83,246.99
Red Sea,,2004,4346.44,130.64
Red Sea,,2005,5216.79,257.61
Red Sea,,2006,4838.12,200.32
Red Sea,,2007,6353.78,200.92
Red Sea,,2008,6089.2,188.03
Red Sea,,2009,4886.61,178.21
Red Sea,,2010,4960.86,293.04
Red Sea,,2011,4960.86,313.88
Red Sea,,2012,4960.86,266.64
Red Sea,,2013,4960.86,305.86
Red Sea,,2014,4960.86,288.8
Red Sea,,2015,4960.86,230.38
Scotian Shelf,,2000,14872.41,179.37
Scotian Shelf,,2001,13300.03,145.67
Scotian Shelf,,2002,12498.99,133.89
Scotian Shelf,,2003,13987.38,144.61
Scotian Shelf,,2004,13429.93,140.96
Scotian Shelf,,2005,13638.47,147.99
Scotian Shelf,,2006,13922.96,166.69
Scotian Shelf,,2007,12836.56,143.69
Scotian Shelf,,2008,14144.66,159.68
Scotian Shelf,,2009,14826.36,175.64
Scotian Shelf,,2010,14776.03,156.63
Scotian Shelf,,2011,14776.03,175.17
Scotian Shelf,,2012,14776.03,156.93
Scotian Shelf,,2013,14776.03,185.72
Scotian Shelf,,2014,14776.03,187.25
Scotian Shelf,,2015,14776.03,196.25
Sea of Japan,,2000,50618.61,1529.11
Sea of Japan,,2001,51210.39,1508.92
Sea of Japan,,2002,51644.27,1506.32
Sea of Japan,,2003,51753.72,1506.84
Sea of Japan,,2004,50341.43,1491.29
Sea of Japan,,2005,48948.19,1509.87
Sea of Japan,,2006,52084.65,1489.1
Sea of Japan,,2007,46446.5,1474.41
Sea of Japan,,2008,43594.91,1363.49
Sea of Japan,,2009,46439.41,1387.34
Sea of Japan,,2010,46449.04,1450.89
Sea of Japan,,2011,46449.04,1488.37
Sea of Japan,,2012,46449.04,1441.69
Sea of Japan,,2013,46449.04,1428.53
Sea of Japan,,2014,46449.04,1460.21
Sea of Japan,,2015,46449.04,1457.73
Sea of Okhotsk,,2000,37768.29,1382.88
Sea of Okhotsk,,2001,32194.48,1135.63
Sea of Okhotsk,,2002,32905.47,1182.81
Sea of Okhotsk,,2003,38493.17,1445.15
Sea of Okhotsk,,2004,38422.32,1364.01
Sea of Okhotsk,,2005,37173.48,1434.58
Sea of Okhotsk,,2006,38663.62,1432.82
Sea of Okhotsk,,2007,34977.99,1141.76
Sea of Okhotsk,,2008,33907.61,1126.69
Sea of Okhotsk,,2009,42613.2,1601.6
Sea of Okhotsk,,2010,42857.41,1831.26
Sea of Okhotsk,,2011,42857.41,1835.72
Sea of Okhotsk,,2012,42857.41,2055.5
Sea of Okhotsk,,2013,42857.41,2180.52
Sea of Okhotsk,,2014,42857.41,1854.33
Sea of Okhotsk,,2015,42857.41,2094.08
Somali Coastal Current,,2000,12688.75,334.93
Somali Coastal Current,,2001,14334.08,418.39
Somali Coastal Current,,2002,15750.99,495.7
Somali Coastal Current,,2003,14167.72,419.89
Somali Coastal Current,,2004,13243.38,391.9
Somali Coastal Current,,2005,12091.08,292.26
Somali Coastal Current,,2006,15222.95,456.05
Somali Coastal Current,,2007,16364.83,488.34
Somali Coastal Current,,2008,15735.02,480.15
Somali Coastal Current,,2009,12579.69,288.48
Somali Coastal Current,,2010,13018.85,462.42
Somali Coastal Current,,2011,13018.85,590.17
Somali Coastal Current,,2012,13018.84,773.94
Somali Coastal Current,,2013,13018.84,683.78
Somali Coastal Current,,2014,13018.84,841.48
Somali Coastal Current,,2015,13018.84,922.6
South Brazil Shelf,,2000,24460.26,878.63
South Brazil Shelf,,2001,26245.5,1001.32
South Brazil Shelf,,2002,25529.28,985.63
South Brazil Shelf,,2003,25273.43,956.76
South Brazil Shelf,,2004,26257.62,960.51
South Brazil Shelf,,2005,26358.16,982.79
South Brazil Shelf,,2006,24044.67,867.38
South Brazil Shelf,,2007,26952.57,1013.2
South Brazil Shelf,,2008,27411.09,1028.74
South Brazil Shelf,,2009,27337.38,1040.1
South Brazil Shelf,,2010,27751.98,1153.72
South Brazil Shelf,,2011,27751.99,1030.67
South Brazil Shelf,,2012,27752,1248.52
South Brazil Shelf,,2013,27752,1096.27
South Brazil Shelf,,2014,27752,1048.07
South Brazil Shelf,,2015,27752,1171.5
South China Sea,,2000,301496.22,7365.52
South China Sea,,2001,315982.44,7648.4
South China Sea,,2002,293980.3,7324.68
South China Sea,,2003,290577.25,7279.66
South China Sea,,2004,301146.88,7627.35
South China Sea,,2005,313204.56,7929.4
South China Sea,,2006,323563.3,8230
South China Sea,,2007,311146.34,8360.86
South China Sea,,2008,351255.03,8905.67
South China Sea,,2009,341456.06,8863.32
South China Sea,,2010,335915.6,8847.81
South China Sea,,2011,335915.6,8960.69
South China Sea,,2012,335915.56,8719
South China Sea,,2013,335915.56,9218.5
South China Sea,,2014,335915.6,8689.71
South China Sea,,2015,335915.6,9484.95
South West Australian Shelf,,2000,6219.94,146.98
South West Australian Shelf,,2001,6311.3,133.73
South West Australian Shelf,,2002,5734.25,115.4
South West Australian Shelf,,2003,6759.41,141.8
South West Australian Shelf,,2004,6067.26,129.09
South West Australian Shelf,,2005,6600.51,150.67
South West Australian Shelf,,2006,5559.92,115.68
South West Australian Shelf,,2007,5856.76,119.09
South West Australian Shelf,,2008,5731.12,124.18
South West Australian Shelf,,2009,5517.08,140
South West Australian Shelf,,2010,5271.46,113.84
South West Australian Shelf,,2011,5271.46,149.89
South West Australian Shelf,,2012,5271.46,121.84
South West Australian Shelf,,2013,5271.46,153.15
South West Australian Shelf,,2014,5271.46,177.6
South West Australian Shelf,,2015,5271.46,157.39
Southeast Australian Shelf,,2000,11246.1,396.15
Southeast Australian Shelf,,2001,10079.16,339.78
Southeast Australian Shelf,,2002,7925.22,255.43
Southeast Australian Shelf,,2003,8316.32,282.86
Southeast Australian Shelf,,2004,8999.72,310.13
Southeast Australian Shelf,,2005,9284.45,310.49
Southeast Australian Shelf,,2006,7062.5,233.18
Southeast Australian Shelf,,2007,7837.39,254.09
Southeast Australian Shelf,,2008,7577.44,241.21
Southeast Australian Shelf,,2009,9057.98,286.59
Southeast Australian Shelf,,2010,8926.5,441.62
Southeast Australian Shelf,,2011,8926.5,452.4
Southeast Australian Shelf,,2012,8926.5,310.64
Southeast Australian Shelf,,2013,8926.5,388.87
Southeast Australian Shelf,,2014,8926.5,508.53
Southeast Australian Shelf,,2015,8926.5,403.66
Southeast U.S. Continental Shelf,,2000,12334.9,135.79
Southeast U.S. Continental Shelf,,2001,11644.62,131.96
Southeast U.S. Continental Shelf,,2002,10598.77,123.69
Southeast U.S. Continental Shelf,,2003,18958.38,183.64
Southeast U.S. Continental Shelf,,2004,15435.55,149.76
Southeast U.S. Continental Shelf,,2005,14092.6,143.13
Southeast U.S. Continental Shelf,,2006,12166.58,119.02
Southeast U.S. Continental Shelf,,2007,11579.88,116.95
Southeast U.S. Continental Shelf,,2008,12159.98,121.58
Southeast U.S. Continental Shelf,,2009,12036.83,122.05
Southeast U.S. Continental Shelf,,2010,12145.55,142.58
Southeast U.S. Continental Shelf,,2011,12145.55,76.88
Southeast U.S. Continental Shelf,,2012,12145.55,116.38
Southeast U.S. Continental Shelf,,2013,12145.55,100.72
Southeast U.S. Continental Shelf,,2014,12145.55,90.72
Southeast U.S. Continental Shelf,,2015,12145.55,107.69
Sulu-Celebes Sea,,2000,59932.59,1118.33
Sulu-Celebes Sea,,2001,59660.56,1090.4
Sulu-Celebes Sea,,2002,56962.65,1070.4
Sulu-Celebes Sea,,2003,53256.86,949.17
Sulu-Celebes Sea,,2004,54799.97,935
Sulu-Celebes Sea,,2005,52452.34,882.96
Sulu-Celebes Sea,,2006,65411.03,1179.3
Sulu-Celebes Sea,,2007,55858.76,1059.24
Sulu-Celebes Sea,,2008,64961.47,1327.98
Sulu-Celebes Sea,,2009,59495.16,1282.75
Sulu-Celebes Sea,,2010,57921.49,1053.11
Sulu-Celebes Sea,,2011,57921.5,1134.45
Sulu-Celebes Sea,,2012,57921.48,892.84
Sulu-Celebes Sea,,2013,57921.48,1099.38
Sulu-Celebes Sea,,2014,57921.48,1252.52
Sulu-Celebes Sea,,2015,57921.48,967.12
West Bering Sea,,2000,24392.07,920.12
West Bering Sea,,2001,32070.35,1273.19
West Bering Sea,,2002,27343.77,1065.54
West Bering Sea,,2003,26804.1,1139.78
West Bering Sea,,2004,31089.11,1288.32
West Bering Sea,,2005,29952.5,1298.29
West Bering Sea,,2006,31313.85,1345.63
West Bering Sea,,2007,31739.46,1379.6
West Bering Sea,,2008,27681.2,1109.77
West Bering Sea,,2009,31617.26,1331.31
West Bering Sea,,2010,32187.68,1344.29
West Bering Sea,,2011,32187.61,1746.02
West Bering Sea,,2012,32187.55,1666.92
West Bering Sea,,2013,32187.55,1761.65
West Bering Sea,,2014,32187.55,1893.08
West Bering Sea,,2015,32187.55,2201.11
West Central Australian Shelf,,2000,2019.93,57.83
West Central Australian Shelf,,2001,1446.44,50.46
West Central Australian Shelf,,2002,1550.91,42.06
West Central Australian Shelf,,2003,1551.31,62.76
West Central Australian Shelf,,2004,1457.88,55.93
West Central Australian Shelf,,2005,1932.71,77.05
West Central Australian Shelf,,2006,2338.69,48.66
West Central Australian Shelf,,2007,2083.09,44.85
West Central Australian Shelf,,2008,2106.85,60.92
West Central Australian Shelf,,2009,1583.5,58.68
West Central Australian Shelf,,2010,1552.07,37.98
West Central Australian Shelf,,2011,1552.07,76.39
West Central Australian Shelf,,2012,1552.07,60.86
West Central Australian Shelf,,2013,1552.07,80.14
West Central Australian Shelf,,2014,1552.07,72.92
West Central Australian Shelf,,2015,1552.07,61.35
Yellow Sea,,2000,319167.3,12948.69
Yellow Sea,,2001,320999.16,13024.9
Yellow Sea,,2002,334869.84,13903.81
Yellow Sea,,2003,381368.3,15504.34
Yellow Sea,,2004,348606.44,15362.33
Yellow Sea,,2005,359732.2,15180.03
Yellow Sea,,2006,311323.75,13376.21
Yellow Sea,,2007,352843.8,14712.73
Yellow Sea,,2008,344399.75,15679.2
Yellow Sea,,2009,359439.12,16673.5
Yellow Sea,,2010,359113.7,17992.28
Yellow Sea,,2011,359113.7,15522.44
Yellow Sea,,2012,359113.7,18109.06
Yellow Sea,,2013,359113.7,19432.74
Yellow Sea,,2014,359113.7,19803.93
Yellow Sea,,2015,359113.7,21148.87
